,Location,crime_count
2,Auckland.,452885
3,Christchurch City.,124713
4,Hamilton City.,62543
28,Wellington City.,49231
0,Tauranga City.,36070
6,Palmerston North City.,34253
29,Rotorua District.,32180
10,Lower Hutt City.,31725
24,Hastings District.,28993
11,Whangarei District.,27823
21,Napier City.,26155
23,Far North District.,21720
19,Dunedin City.,19748
36,Waikato District.,16880
16,Gisborne District.,15877
5,New Plymouth District.,15528
12,Porirua City.,14425
35,Taupo District.,13748
8,Wanganui District.,13512
26,Nelson City.,12764
13,Kapiti Coast District.,11224
14,Whakatane District.,11114
38,Invercargill City.,10783
9,Horowhenua District.,9464
7,Upper Hutt City.,9121
17,Matamata-Piako District.,8869
51,Waipa District.,8850
32,Western Bay of Plenty District.,8528
57,Marlborough District.,8209
25,Thames-Coromandel District.,7825
46,Waimakariri District.,7766
22,Tasman District.,7703
20,Timaru District.,7627
34,Masterton District.,7526
31,South Waikato District.,6513
1,Ashburton District.,5801
15,Queenstown-Lakes District.,5745
42,Manawatu District.,5691
60,Selwyn District.,5501
39,Hauraki District.,5251
49,South Taranaki District.,5081
41,Kaipara District.,4375
53,Tararua District.,3949
56,Southland District.,3602
18,Waitaki District.,3542
33,Ruapehu District.,3200
58,Opotiki District.,3083
55,Grey District.,2562
44,Clutha District.,2543
47,Wairoa District.,2522
59,Rangitikei District.,2521
30,Waitomo District.,2372
62,Central Hawke's Bay District.,2244
52,Buller District.,2234
48,Kawerau District.,2229
43,Central Otago District.,2032
45,Gore District.,2004
50,South Wairarapa District.,1937
40,Hurunui District.,1861
27,Stratford District.,1747
61,Otorohanga District.,1646
54,Westland District.,1400
64,Carterton District.,1302
63,Waimate District.,935
65,Kaikoura District.,933
37,Mackenzie District.,524
