Year Month Day,neg,neu,pos
2014-10-1,0.0,29.0,0.0
2014-10-10,0.0,19.0,0.0
2014-10-11,0.0,26.0,1.0
2014-10-12,0.0,9.0,0.0
2014-10-13,0.0,19.0,0.0
2014-10-14,0.0,15.0,0.0
2014-10-15,1.0,19.0,0.0
2014-10-16,0.0,17.0,0.0
2014-10-17,0.0,18.0,0.0
2014-10-18,0.0,12.0,0.0
2014-10-19,0.0,3.0,0.0
2014-10-2,0.0,32.0,0.0
2014-10-20,0.0,18.0,0.0
2014-10-21,1.0,31.0,0.0
2014-10-22,0.0,15.0,0.0
2014-10-23,0.0,21.0,0.0
2014-10-24,1.0,21.0,0.0
2014-10-25,0.0,6.0,0.0
2014-10-26,0.0,9.0,0.0
2014-10-27,0.0,15.0,0.0
2014-10-28,0.0,19.0,0.0
2014-10-29,2.0,52.0,1.0
2014-10-3,0.0,15.0,0.0
2014-10-30,1.0,22.0,0.0
2014-10-31,1.0,20.0,0.0
2014-10-4,0.0,6.0,0.0
2014-10-5,0.0,12.0,0.0
2014-10-6,1.0,83.0,0.0
2014-10-7,0.0,38.0,0.0
2014-10-8,0.0,30.0,0.0
2014-10-9,0.0,36.0,0.0
2014-11-1,0.0,8.0,0.0
2014-11-10,1.0,29.0,1.0
2014-11-11,0.0,33.0,0.0
2014-11-12,0.0,16.0,0.0
2014-11-13,0.0,14.0,0.0
2014-11-14,0.0,16.0,0.0
2014-11-15,1.0,10.0,0.0
2014-11-16,0.0,9.0,0.0
2014-11-17,0.0,14.0,1.0
2014-11-18,2.0,35.0,1.0
2014-11-19,1.0,14.0,0.0
2014-11-2,0.0,5.0,0.0
2014-11-20,0.0,31.0,1.0
2014-11-21,0.0,27.0,3.0
2014-11-22,0.0,9.0,1.0
2014-11-23,0.0,24.0,1.0
2014-11-24,0.0,21.0,0.0
2014-11-25,0.0,12.0,0.0
2014-11-26,0.0,11.0,0.0
2014-11-27,0.0,36.0,0.0
2014-11-28,1.0,48.0,0.0
2014-11-29,0.0,15.0,0.0
2014-11-3,1.0,10.0,0.0
2014-11-30,0.0,14.0,1.0
2014-11-4,0.0,24.0,0.0
2014-11-5,0.0,19.0,0.0
2014-11-6,0.0,16.0,0.0
2014-11-7,0.0,24.0,0.0
2014-11-8,1.0,10.0,0.0
2014-11-9,0.0,8.0,0.0
2014-12-1,0.0,17.0,1.0
2014-12-10,0.0,15.0,0.0
2014-12-11,0.0,18.0,1.0
2014-12-12,0.0,39.0,1.0
2014-12-13,0.0,13.0,0.0
2014-12-14,0.0,25.0,1.0
2014-12-15,1.0,12.0,0.0
2014-12-16,0.0,18.0,1.0
2014-12-17,1.0,34.0,0.0
2014-12-18,1.0,32.0,2.0
2014-12-19,0.0,23.0,0.0
2014-12-2,0.0,21.0,0.0
2014-12-20,0.0,9.0,1.0
2014-12-21,0.0,11.0,0.0
2014-12-22,0.0,23.0,0.0
2014-12-23,0.0,18.0,0.0
2014-12-24,0.0,31.0,0.0
2014-12-25,0.0,9.0,1.0
2014-12-26,0.0,7.0,2.0
2014-12-27,0.0,13.0,0.0
2014-12-28,2.0,29.0,0.0
2014-12-29,0.0,15.0,0.0
2014-12-3,1.0,15.0,0.0
2014-12-30,0.0,10.0,0.0
2014-12-31,0.0,27.0,1.0
2014-12-4,1.0,12.0,0.0
2014-12-5,0.0,11.0,0.0
2014-12-6,0.0,12.0,0.0
2014-12-7,0.0,10.0,0.0
2014-12-8,0.0,17.0,0.0
2014-12-9,0.0,14.0,0.0
2014-7-1,0.0,4.0,0.0
2014-7-10,0.0,12.0,0.0
2014-7-11,0.0,15.0,0.0
2014-7-12,0.0,5.0,0.0
2014-7-13,0.0,5.0,0.0
2014-7-14,0.0,12.0,0.0
2014-7-15,0.0,20.0,1.0
2014-7-16,0.0,11.0,0.0
2014-7-17,0.0,14.0,0.0
2014-7-18,0.0,10.0,0.0
2014-7-19,0.0,16.0,0.0
2014-7-2,0.0,12.0,1.0
2014-7-20,0.0,12.0,0.0
2014-7-21,0.0,7.0,0.0
2014-7-22,0.0,10.0,1.0
2014-7-23,0.0,9.0,3.0
2014-7-24,0.0,18.0,2.0
2014-7-25,0.0,10.0,0.0
2014-7-26,0.0,7.0,0.0
2014-7-27,0.0,7.0,0.0
2014-7-28,0.0,11.0,0.0
2014-7-29,0.0,9.0,0.0
2014-7-3,0.0,17.0,1.0
2014-7-30,1.0,12.0,0.0
2014-7-31,0.0,13.0,0.0
2014-7-4,0.0,4.0,0.0
2014-7-5,0.0,1.0,0.0
2014-7-7,0.0,7.0,1.0
2014-7-8,1.0,14.0,0.0
2014-7-9,0.0,17.0,0.0
2014-8-1,0.0,13.0,0.0
2014-8-10,1.0,10.0,0.0
2014-8-11,0.0,10.0,0.0
2014-8-12,0.0,12.0,0.0
